PBR,PER,ROE,매출액,배당수익율,부채비율,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
,,,,,,,,코스닥,,포스코엠텍,"""009520""",,"22,600"
,,,,,,,,코스닥,,폴라리스세원,"""234100""",,"2,245"
,,,,,,,,코스닥,,폴라리스오피스,"""041020""",,"2,070"
,,,,,,,,코스닥,,푸드나무,"""290720""",,"7,540"
,,,,,,,,코스닥,,피에이치에이,"""043370""",,"8,370"
,,,,,,,,코스닥,,피제이메탈,"""128660""",,"4,175"
,,,,,,,,코스닥,,하나금융21호스팩,"""406760""",,"2,120"
,,,,,,,,코스닥,,하이소닉,"""106080""",,"10,190"
,,,,,,,,코스닥,,한국전자인증,"""041460""",,"4,880"
,,,,,,,,코스닥,,한국큐빅,"""021650""",,"2,995"
,,,,,,,,코스닥,,헝셩그룹,"""900270""",,333
,,,,,,,,코스닥,,현대에버다임,"""041440""",,"7,420"
,,,,,,,,코스닥,,헬릭스미스,"""084990""",,"8,790"
,,,,,,,,코스닥,,홈캐스트,"""064240""",,"4,730"
,,,,,,,,코스닥,,휴림네트웍스,"""192410""",,687
,,,,,,,,코스닥,,휴맥스,"""115160""",,"3,670"
,,,,,,,,코스닥,,휴메딕스,"""200670""",,"28,450"
,,,,,,,,코스닥,,흥구석유,"""024060""",,"5,530"
,,,,,,,,코넥스,,EMB,"""278990""",,"6,400"
,,,,,,,,코넥스,,골프존데카,"""183410""",,"2,380"
,,,,,,,,코넥스,,데이터스트림즈,"""199150""",,"8,590"
,,,,,,,,코넥스,,메디젠휴먼케어,"""236340""",,"6,980"
,,,,,,,,코넥스,,루켄테크놀러지스,"""162120""",,"4,905"
,,,,,,,,코넥스,,블루탑,"""191600""",,"11,600"
,,,,,,,,코넥스,,바스칸바이오제약,"""354390""",,"6,400"
,,,,,,,,코넥스,,에스엘에스바이오,"""246250""",,"7,890"
,,,,,,,,코넥스,,아이케이세미콘,"""149010""",,"8,390"
,,,,,,,,코넥스,,에스케이씨에스,"""224020""",,"2,235"
,,,,,,,,코넥스,,엔에스엠,"""238170""",,478
,,,,,,,,코넥스,,엔에스컴퍼니,"""224760""",,"4,885"
,,,,,,,,코넥스,,엔지브이아이,"""093510""",,"1,750"
,,,,,,,,코넥스,,유엑스엔,"""337840""",,"18,180"
,,,,,,,,코넥스,,이앤에치,"""341310""",,949
,,,,,,,,코넥스,,젬,"""248020""",,"2,330"
,,,,,,,,코넥스,,청광건설,"""140290""",,465
,,,,,,,,코넥스,,코나솔,"""176590""",,"5,950"
,,,,,,,,코넥스,,코셋,"""189350""",,"2,050"
,,,,,,,,코넥스,,프로테옴텍,"""303360""",,"7,140"
,,,,,,,,코스피,,BGF,"""027410""",,"4,220"
,,,,,,,,코스피,,DB,"""012030""",,"1,822"
,,,,,,,,코스피,,HD현대건설기계,"""267270""",,"69,800"
,,,,,,,,코스피,,HD현대인프라코어,"""042670""",,"10,660"
,,,,,,,,코스피,,JW생명과학,"""234080""",,"11,990"
